SchoolName,Address,Grades
CICS - BASIL,1816 W Garfield Blvd,K-8

CICS - BUCKTOWN,2235 N Hamilton Ave,K-8

CICS - CHICAGOQUEST NORTH,1443 N Ogden Ave,6-9*

CICS - ELLISON,1817 W 80th St,9-12*

CICS - HAWKINS,801 E 133rd Pl,7-12

CICS - IRVING PARK,3820 N Spaulding Ave,K-8

CICS - LLOYD BOND,13300 S Langley Ave,K-6

CICS - LONGWOOD,1309 W 95th St,3-12

CICS - LOOMIS,9535 S Loomis St,K-2

CICS - NORTHTOWN,3900 W Peterson Ave,9-12*

CICS - PRAIRIE,11530 S Prairie Ave,K-8

CICS - WASHINGTON PARK,6105 S Michigan Ave,K-8

CICS - WEST BELDEN,2245 N McVicker Ave,K-8

CICS - WRIGHTWOOD,8130 S California Ave,K-8*

CLAREMONT,2300 W 64th St,K-8*

CLARK HS,5101 W Harrison St,8-12

"CLARK, G",1045 S Monitor Ave,K-8*

CLAY,13231 S Burley Ave,K-8*

CLEMENTE HS,1147 N Western Ave,9-12*

CLEVELAND,3121 W Byron St,K-8*

CLINTON,6110 N Fairfield Ave,K-8*

CLISSOLD,2350 W 110th Pl,K-8*

COLEMON,1441 W 119th St,K-8*

COLES,8441 S Yates Blvd,K-8*

COLLINS HS,1313 S Sacramento Dr,9-12

COLUMBIA EXPLORERS,4520 S Kedzie Ave,K-8*

COLUMBUS,1003 N Leavitt St,K-8*

COMMUNITY CONTR,1239 S Pulaski Rd,11-12

COOK,8150 S Bishop St,K-8*

COONLEY,4046 N Leavitt St,K-8*

COOPER,1624 W 19th St,K-5*

CORKERY,2510 S Kildare Ave,K-8*

CORLISS HS,821 E 103rd St,9-12*

CORLISS HS,821 E 103rd St,9-12*

COURTENAY,4420 N Beacon St,K-8*

CRANE HS,2245 W Jackson Blvd,12*

CRANE MEDICAL PREP HS,2245 W Jackson Blvd,9-10

CROWN,2128 S Saint Louis Ave,K-8*

CUFFE,8324 S Racine Ave,K-8*

CULLEN,10650 S Eberhart Ave,K-8*

CURIE HS,4959 S Archer Ave,9-12*

CURTIS,32 E 115th St,K-8*

DALEY,5024 S Wolcott Ave,K-8*

DARWIN,3116 W Belden Ave,K-8*

"DAVIS, M",6730 S Paulina St,K-8

"DAVIS, N",3014 W 39th Pl,K-8*

DAWES,3810 W 81st Pl,K-8*

DECATUR,7030 N Sacramento Ave,K-6

DENEEN,7240 S Wabash Ave,K-8*

DENEEN,7240 S Wabash Ave,7-8*

DEPRIEST,139 S Parkside Ave,K-8*

DETT,2131 W Monroe St,K-8*

DEVER,3436 N Osceola Ave,K-8*

DEVRY HS,3300 N Campbell Ave,11-12

DEWEY,5415 S Union Ave,K-8*

DIEGO,1313 N Claremont Ave,K-8*

DIRKSEN,8601 W Foster Ave,K-8*

DISNEY,4140 N Marine Dr,PK-8

DISNEY II ES,3815 N Kedvale Ave,PK-9

DISNEY II MAGNET HS,3900 N Lawndale Ave,7-10

DIXON,8306 S Saint Lawrence Ave,K-8*

DIXON,8306 S Saint Lawrence Ave,7-8*

DODGE,431 N Troy St,PK-8

DOOLITTLE,535 E 35th St,K-8*

DORE,6108 S Natoma Ave,K-8*

DOUGLASS HS,543 N Waller Ave,9-12*

DRAKE,2710 S Dearborn St,K-8*

DRUMMOND,1845 W Cortland St,PK-8

DUBOIS,330 E 133rd St,K-8*

DULLES,6311 S Calumet Ave,K-8*

DUNBAR HS,3000 S King Dr,9-12

DUNNE TECH ACAD,10845 S Union Ave,K-8*

DURKIN PARK,8445 S Kolin Ave,K-8*

DVORAK TECH ACAD,3615 W 16th St,K-8*

DYETT HS,555 E 51st St,12*

EARHART,1710 E 93rd St,K-6*

EARLE,2040 W 62nd St,K-8*

EBERHART,3400 W 65th Pl,K-8*

EBINGER,7350 W Pratt Ave,K-8*

EDGEBROOK,6525 N Hiawatha Ave,K-8*

EDISON PARK,6220 N Olcott Ave,K-8*

"EDISON, T",4929 N Sawyer Ave,K-8

EDWARDS,4815 S Karlov Ave,K-8*

ELLINGTON,243 N Parkside Ave,K-8*

EPIC CHTR HS,8255 S Houston Ave,9-12

ERICSON,3600 W 5th Ave,PK-8

ERIE CHTR,1405 N Washtenaw Ave,K-8

ESMOND,1865 W Montvale Ave,K-8*

EVERETT,3419 S Bell Ave,K-5*

EVERGREEN MS,3537 S Paulina St,6-8*

EVERS,9811 S Lowe Ave,K-8*

EXCEL ACADEMY - ENGLEWOOD HS,7141 S Morgan St,9-11

EXCEL ACADEMY - SOUTHWEST,7014 S Washtenaw Ave,9

EXCEL ACADEMY - WOODLAWN,7530 S South Shore Dr,9

FAIRFIELD,6201 S Fairfield Ave,K-8*

FALCONER,3020 N Lamon Ave,K-6*

FARADAY,3250 W Monroe St,K-8*

FARNSWORTH,5414 N Linder Ave,K-8*

FARRAGUT HS,2345 S Christiana Ave,9-12*

FARRAGUT HS,2345 S Christiana Ave,9-11*

FENGER HS,11220 S Wallace St,9-12*

FERNWOOD,10041 S Union Ave,K-8*

FIELD,7019 N Ashland Ave,4-8*

FINKL,2332 S Western Ave,K-8*

FISKE,6020 S Langley Ave,K-8*

FORD CHTR HS,931 S Homan Ave,12

FOREMAN HS,3235 N LeClaire Ave,9-12*

FORT DEARBORN,9025 S Throop St,K-8*

FOSTER PARK,8530 S Wood St,K-8*

FOUNDATIONS CHTR,1233 W 109th Street,6-7

FRANKLIN,225 W Evergreen Ave,K-8

FRAZIER CHTR,3711 W Douglas Blvd,PK-8

FRAZIER PROSPECTIVE,4027 W Grenshaw St,K-8

FULLER,4214 S St Lawrence Ave,K-8*

FULLER,4214 S St Lawrence Ave,4-8*

FULTON,5300 S Hermitage Ave,K-8*

FUNSTON,2010 N Central Park Ave,K-8*

GAGE PARK HS,5630 S Rockwell St,9-12*

GALAPAGOS CHTR,3814 W Iowa St,K-8

GALE,1631 W Jonquil Ter,K-8*

GALILEO,820 S Carpenter St,K-8

GALLISTEL,10347 S Ewing Ave,K-8*

GARVEY,10309 S Morgan St,K-8*

GARVY,5225 N Oak Park Ave,K-8*

GARY,3740 W 31st St,3-8*

GEORGE WESTINGHOUSE HS,3223 W Franklin Blvd,9-12

GILLESPIE,9301 S State St,K-8*

GLOBAL CITIZENSHIP CHTR,4647 W 47th St,K-7

GOETHE,2236 N Rockwell St,K-8*

GOODE ACAD HS,7651 S Homan Ave,9-11

GOUDY,5120 N Winthrop Ave,K-8*

GRAHAM,4436 S Union Ave,K-8*

"GRAHAM,R HS",2347 S Wabash Ave,9-12

"GRAY, W",3730 N Laramie Ave,K-8*

GREAT LAKES CHTR,8401 S Saginaw Ave,K-1

GREATER LAWNDALE HS,3120 S Kostner Ave,9-12*

GREELEY,832 W Sheridan Rd,K-8*

GREEN,1150 W 96th St,K-8*

GREENE,3525 S Honore St,K-5*

GREGORY,3715 W Polk St,K-8*

GRESHAM,8524 S Green St,K-8*

GRIMES,5450 W 64th Pl,K-8*

GRISSOM,12810 S Escanaba Ave,K-8*

GUNSAULUS,4420 S Sacramento Ave,PK-8

HAINES,247 W 23rd Pl,K-8*

HALE,6140 S Melvina Ave,K-8*

HALEY,11411 S Eggleston Ave,K-8*

HAMILTON,1650 W Cornelia Ave,K-8*

HAMLINE,4747 S Bishop St,K-8*

HAMMOND,2819 W 21st Pl,K-8*

HAMPTON,3434 W 77th St,K-8*

HANCOCK HS,4034 W 56th St,9-12*

HANSON PARK,5411 W Fullerton Ave,K-8*

HARLAN HS,9652 S Michigan Ave,9-12*

HARPER HS,6520 S Wood St,9-12*

HARTE,1556 E 56th St,K-8*

HARVARD,7525 S Harvard,K-8*

HAUGAN,4540 N Hamlin Ave,K-6*

HAWTHORNE,3319 N Clifton Ave,K-8

HAY,1018 N Laramie Ave,K-8*

HAYT,1518 W Granville Ave,K-8*

HEALY,3010 S Parnell Ave,K-8*

HEARST,4640 S Lamon Ave,K-8*

HEDGES,4747 S Winchester Ave,K-8*

HEFFERAN,4409 W Wilcox St,K-8*

HENDERSON,5650 S Wolcott Ave,K-8*

HENDRICKS,4316 S Princeton Ave,K-8*

HENRY,4250 N Saint Louis Ave,K-6*

HERNANDEZ MS,3510 W 55th St,6-8*

HEROES,8344 S Commercial Ave,K-8*

HERZL,3711 W Douglas Blvd,K-8*

HIBBARD,3244 W Ainslie St,K-6*

HIGGINS,11710 S Morgan St,K-8*

HIRSCH HS,7740 S Ingleside Ave,9-12*

HIRSCH HS,7740 S Ingleside Ave,9-12*

HIRSCH HS,7740 S Ingleside Ave,9-12*

HITCH,5625 N McVicker Ave,K-8*

HOLDEN,1104 W 31st St,K-8*

HOLMES,955 W Garfield Blvd,K-8*

HOPE CONTR ES,1628 W Washington,K-5

HOPE PREP HS,5515 S Lowe Ave,9-12*

HOWE,720 N Lorel Ave,K-8*

HOYNE,8905 S Crandon Ave,K-6*

HOYNE,8905 S Crandon Ave,K-3*

HSA CHTR - SW CHICAGO,5401 S. Western,K-8

HUBBARD HS,6200 S Hamlin Ave,9-12*

"HUGHES, C",4247 W 15th St,K-8*

"HUGHES, L",240 W 104th St,K-8*

HURLEY,3849 W 69th Pl,K-8*

HYDE PARK HS,6220 S Stony Island Ave,9-12*

HYDE PARK HS,6220 S Stony Island Ave,9-12*

INFINITY HS,3120 S Kostner Ave,9-12*

INSTITUTO CHTR - HEALTH SCIENCES,2520 S Western Ave,9-12

INSTITUTO CHTR - JUSTICE  AND LEADERSHIP,2570 S Blue Island Ave,10-12

INSTITUTO CHTR - RUDY LOZANO,2520 S Western Ave,12

INTER-AMERICAN,851 W Waveland Ave,PK-8

INTRINSIC CHTR,4540 W Belmont Ave,"7, 9, 10"

IRVING,749 S Oakley Blvd,K-8*

"JACKSON, A",1340 W Harrison St,K-8

"JACKSON, M",917 W 88th St,K-8*

JAHN,3149 N Wolcott Ave,K-8*

JAMIESON,5650 N Mozart St,K-8*

JEFFERSON ALT HS,1100 S Hamilton Ave,6-12

JENNER,1119 N Cleveland Ave,K-8*

JENSEN,3030 W Harrison St,K-8*

JOHNSON,1420 S Albany Ave,K-8*

JONES HS,700 S State St,9-12

JOPLIN,7931 S Honore St,K-8*

JORDAN,7414 N Wolcott Ave,K-8*

JUAREZ HS,2150 S Laflin St,9-12*

JULIAN HS,10330 S Elizabeth St,9-12*

JUNGMAN,1746 S Miller St,K-8*

KANOON,2233 S Kedzie Ave,K-8*

KELLER,3020 W 108th St,1-8

KELLMAN,3030 W Arthington St,PK-8

KELLOGG,9241 S Leavitt St,K-8*

KELLY HS,4136 S California Ave,9-12*

KELVYN PARK HS,4343 W Wrightwood Ave,7-12*

KELVYN PARK HS,4343 W Wrightwood Ave,7-8*

KENNEDY HS,6325 W 56th St,9-12*

KENWOOD HS,5015 S Blackstone Ave,9-12*

KERSHAW,6450 S Lowe Ave,PK-8

KILMER,6700 N Greenview Ave,K-8*

KING,644 W 71st St,K-8*

KING HS,4445 S Drexel Blvd,9-12

KINZIE,5625 S Mobile Ave,K-8*

KIPLING,9351 S Lowe Ave,K-8*

KIPP CHTR - ASCEND,1616 S Avers Ave,1-8

KIPP CHTR - ASCEND PRIMARY,1440 S Christiana,K

KIPP CHTR - BLOOM,5515 S Lowe Ave,5-6

KIPP CHTR - CREATE,4837 W Erie St,5-7

KOZMINSKI,936 E 54th St,K-8*

LAKE VIEW HS,4015 N Ashland Ave,9-12*

LANE HS,2501 W Addison St,7-12

LANGFORD,6010 S Throop St,K-8*

LARA,4619 S Wolcott Ave,K-8*

LASALLE,1734 N Orleans St,K-8

LASALLE II,1148 N Honore St,PK-8

LAVIZZO,138 W 109th St,K-8*

LAWNDALE,3500 W Douglas Blvd,K-8*

LEARN CHRT - SOUTH CHICAGO,8914 S Buffalo Ave,K-7

LEARN CHTR - BUTLER,1132 S Homan Ave,PK-8

LEARN CHTR - CAMPBELL,212 S Francisco Ave,K-5

LEARN CHTR - EXCEL,3021 W Carroll Ave,K-5

LEARN CHTR - HUNTER PERKINS,1700 W 83rd St,K-6

LEARN CHTR 7,3021 W Carroll Ave,K-4

LEARN CHTR MIDDLE SCHOOL,3021 W Carroll Ave,6-8

LEE,6448 S Tripp Ave,K-8*

LEGACY CHTR,4217 W 18th St,PK-8

LEGAL PREP CHTR ACADEMY,1901 W Carroll Ave,9-11

LELAND,512 S Lavergne Ave,K-8*

LENART,8101 S LaSalle St,PK-8

LEWIS,1431 N Leamington Ave,K-8*

LIBBY,5300 S Loomis Blvd,K-8*

LINCOLN,615 W Kemper Pl,K-8*

LINCOLN PARK HS,2001 N Orchard St,9-12*

LINDBLOM HS,6130 S Wolcott Ave,7-12

LITTLE BLACK PEARL ACADEMY HS,1060 E 47th St,9-12

LITTLE VILLAGE,2620 S Lawndale Ave,K-8*

LLOYD,2103 N Lamon Ave,K-5*

"LOCKE, A CHTR",3141 W Jackson Blvd,PK-8

"LOCKE, J",2828 N Oak Park Ave,K-8*

LOGANDALE MS,3212 W George St,K-8*

LORCA,3231 N Springfield Ave,K-8*

LOVETT,6333 W Bloomingdale Ave,K-8*

