SchoolName,Address,Grades
PROLOGUE CONTR HS,1135 N Cleaver St,9-12

PROSSER HS,2148 N Long Ave,9-12

PROVIDENCE CHTR - BUNCHE,6515 S Ashland Ave,K-8

PRUSSING,4650 N Menard Ave,K-8*

PULASKI,2230 W McLean Ave,K-8*

PULLMAN,11311 S Forrestville Ave,K-8*

RABY HS,3545 W Fulton Blvd,9-12

RANDOLPH,7316 S Hoyne Ave,K-8*

RAVENSWOOD,4332 N Paulina St,K-8*

RAY,5631 S Kimbark Ave,K-8*

RAY,5631 S Kimbark Ave,7-8*

REAVIS,834 E 50th St,K-8*

REILLY,3650 W School St,K-8*

REINBERG,3425 N Major Ave,K-8*

REVERE,1010 E 72nd St,K-8*

RICHARDS HS,5009 S Laflin St,9-12*

RICKOVER HS,5900 N Glenwood Ave,9-12

ROBESON HS,6835 S Normal Blvd,9-12*

ROBINSON,4225 S Lake Park Ave,K-3*

ROGERS,7345 N Washtenaw Ave,K-8*

