Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Network 13,609800,Bennett,BENNETT,419,1,0.2,405,96.7,0,0,0,0,7,1.7,6,1.4,0,0,0,0,0,0
Network 12,610350,Black Magnet,BLACK MAGNET,474,0,0,453,95.6,0,0,0,0,5,1.1,2,0.4,0,0,0,0,14,3
Network 4,609803,Blaine,BLAINE,943,563,59.7,42,4.5,0,0,2,0.2,245,26,44,4.7,34,3.6,13,1.4,0,0
Network 10,610087,Blair,BLAIR,192,32,16.7,38,19.8,0,0,0,0,120,62.5,0,0,1,0.5,1,0.5,0,0
OS4,609698,Bogan Tech HS,BOGAN TECH HS,"1,115",26,2.3,538,48.3,0,0,10,0.9,533,47.8,7,0.6,1,0.1,0,0,0,0
Network 11,610238,Bond,BOND,420,1,0.2,413,98.3,0,0,0,0,6,1.4,0,0,0,0,0,0,0,0
Network 2,609804,Boone,BOONE,805,176,21.9,82,10.2,0,0,3,0.4,364,45.2,9,1.1,169,21,1,0.1,1,0.1
Network 12,609815,Bouchet,BOUCHET,686,0,0,681,99.3,0,0,0,0,2,0.3,3,0.4,0,0,0,0,0,0
AUSL,609806,Bradwell,BRADWELL,834,4,0.5,817,98,0,0,1,0.1,9,1.1,3,0.4,0,0,0,0,0,0
Network 2,610242,Brennemann,BRENNEMANN,502,16,3.2,315,62.7,0,0,1,0.2,136,27.1,10,2,22,4.4,1,0.2,1,0.2
OS4,609809,Brentano,BRENTANO,411,20,4.9,18,4.4,0,0,1,0.2,355,86.4,2,0.5,1,0.2,0,0,14,3.4
Network 1,609810,Bridge,BRIDGE,"1,049",532,50.7,8,0.8,0,0,1,0.1,461,43.9,19,1.8,27,2.6,1,0.1,0,0
Network 13,609811,Bright,BRIGHT,290,1,0.3,200,69,0,0,0,0,89,30.7,0,0,0,0,0,0,0,0
Network 8,610317,Brighton Park,BRIGHTON PARK,593,9,1.5,5,0.8,0,0,2,0.3,571,96.3,2,0.3,4,0.7,0,0,0,0
Charter,400019,Bronzeville LH Chrt,BRONZEVILLE LH CHRT,488,0,0,477,97.7,0,0,0,0,2,0.4,1,0.2,1,0.2,0,0,7,1.4
OS4,610381,Bronzeville Mil HS,BRONZEVILLE MIL HS,516,0,0,508,98.4,0,0,0,0,5,1,1,0.2,1,0.2,1,0.2,0,0
Network 13,609726,Brooks CPHS,BROOKS CPHS,783,6,0.8,663,84.7,0,0,2,0.3,101,12.9,9,1.1,1,0.1,0,0,1,0.1
Network 13,610091,Brown R.,BROWN R.,292,0,0,288,98.6,0,0,0,0,4,1.4,0,0,0,0,0,0,0,0
OS4,609812,Brown W.,BROWN W.,224,0,0,216,96.4,0,0,2,0.9,5,2.2,0,0,1,0.4,0,0,0,0
Network 12,609813,Brownell,BROWNELL,261,0,0,260,99.6,0,0,0,0,1,0.4,0,0,0,0,0,0,0,0
Network 3,609830,Brunson,BRUNSON,645,1,0.2,613,95,0,0,1,0.2,25,3.9,1,0.2,0,0,0,0,4,0.6
Network 2,609817,Budlong,BUDLONG,874,222,25.4,52,5.9,0,0,5,0.6,393,45,20,2.3,172,19.7,1,0.1,9,1
Network 3,609818,Burbank,BURBANK,955,14,1.5,52,5.4,0,0,5,0.5,875,91.6,4,0.4,2,0.2,3,0.3,0,0
OS4,609819,Burke,BURKE,369,0,0,365,98.9,0,0,1,0.3,2,0.5,1,0.3,0,0,0,0,0,0
Network 4,609820,Burley,BURLEY,550,309,56.2,15,2.7,0,0,3,0.5,153,27.8,33,6,37,6.7,0,0,0,0
Network 13,609821,Burnham,BURNHAM,581,0,0,567,97.6,0,0,0,0,9,1.5,3,0.5,1,0.2,1,0.2,0,0
Network 12,609827,Burnside Magnet,BURNSIDE MAGNET,679,1,0.1,663,97.6,0,0,1,0.1,11,1.6,3,0.4,0,0,0,0,0,0
Network 6,609828,Burr,BURR,388,143,36.9,35,9,0,0,0,0,189,48.7,15,3.9,5,1.3,1,0.3,0,0
Network 8,609829,Burroughs,BURROUGHS,519,19,3.7,4,0.8,0,0,0,0,493,95,0,0,2,0.4,0,0,1,0.2
Network 10,609832,Byrne,BYRNE,671,270,40.2,6,0.9,0,0,1,0.1,390,58.1,3,0.4,0,0,0,0,1,0.1
Network 12,609833,Caldwell,CALDWELL,283,0,0,276,97.5,0,0,1,0.4,2,0.7,4,1.4,0,0,0,0,0,0
Options,610572,Camelot Academy ES,CAMELOT ACADEMY ES,21,0,0,20,95.2,0,0,0,0,1,4.8,0,0,0,0,0,0,0,0
