Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct
Network 13,610364,DuBois,DUBOIS,205,2,1,191,93.2,0,0,0,0,8,3.9,4,2,0,0,0,0,0,0
AUSL,610263,Dulles,DULLES,788,2,0.3,770,97.7,0,0,0,0,9,1.1,2,0.3,1,0.1,1,0.1,3,0.4
Network 9,609676,Dunbar Voc HS,DUNBAR VOC HS,"1,188",2,0.2,"1,167",98.2,0,0,0,0,11,0.9,6,0.5,2,0.2,0,0,0,0
Network 13,610188,Dunne,DUNNE,294,0,0,289,98.3,0,0,0,0,5,1.7,0,0,0,0,0,0,0,0
Network 10,610352,Durkin Park,DURKIN PARK,592,37,6.3,79,13.3,0,0,3,0.5,468,79.1,5,0.8,0,0,0,0,0,0
Network 5,610254,Dvorak,DVORAK,547,0,0,537,98.2,0,0,0,0,8,1.5,2,0.4,0,0,0,0,0,0
Network 9,609736,Dyett HS,DYETT HS,83,0,0,79,95.2,0,0,1,1.2,1,1.2,2,2.4,0,0,0,0,0,0
Network 12,610316,Earhart,EARHART,263,0,0,258,98.1,0,0,0,0,1,0.4,4,1.5,0,0,0,0,0,0
Network 11,609897,Earle,EARLE,530,0,0,513,96.8,0,0,0,0,14,2.6,1,0.2,0,0,1,0.2,1,0.2
Network 10,609898,Eberhart,EBERHART,"1,591",28,1.8,58,3.6,0,0,1,0.1,"1,500",94.3,4,0.3,0,0,0,0,0,0
Network 1,609899,Ebinger,EBINGER,732,531,72.5,4,0.5,0,0,1,0.1,145,19.8,19,2.6,26,3.6,2,0.3,4,0.5
Network 1,609901,Edgebrook,EDGEBROOK,504,342,67.9,14,2.8,0,0,2,0.4,74,14.7,12,2.4,54,10.7,6,1.2,0,0
Network 1,609794,Edison,EDISON,276,144,52.2,12,4.3,0,0,0,0,40,14.5,21,7.6,57,20.7,2,0.7,0,0
Network 1,610523,Edison Park,EDISON PARK,470,338,71.9,3,0.6,1,0.2,1,0.2,97,20.6,0,0,20,4.3,2,0.4,8,1.7
Network 8,609903,Edwards,EDWARDS,"1,520",51,3.4,8,0.5,0,0,13,0.9,"1,434",94.3,1,0.1,8,0.5,4,0.3,1,0.1
Network 3,609904,Ellington,ELLINGTON,735,3,0.4,704,95.8,0,0,1,0.1,24,3.3,2,0.3,0,0,0,0,1,0.1
Charter,400094,EPIC Acad HS,EPIC ACAD HS,493,2,0.4,293,59.4,0,0,2,0.4,181,36.7,3,0.6,0,0,0,0,12,2.4
OS4,609907,Ericson Magnet,ERICSON MAGNET,487,1,0.2,454,93.2,0,0,0,0,6,1.2,0,0,1,0.2,0,0,25,5.1
Charter,400039,Erie Charter,ERIE CHARTER,425,7,1.6,74,17.4,0,0,0,0,331,77.9,7,1.6,2,0.5,0,0,4,0.9
OS4,609908,Esmond,ESMOND,356,0,0,344,96.6,0,0,0,0,10,2.8,1,0.3,1,0.3,0,0,0,0
Network 8,609909,Everett,EVERETT,256,10,3.9,4,1.6,0,0,0,0,235,91.8,3,1.2,4,1.6,0,0,0,0
Network 8,610319,Evergreen Middle,EVERGREEN MIDDLE,388,13,3.4,9,2.3,0,0,0,0,353,91,4,1,6,1.5,1,0.3,2,0.5
Network 11,610362,Evers,EVERS,395,1,0.3,394,99.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Options,610565,EXCEL Acad Englewood Hs,EXCEL ACAD ENGLEWOOD HS,259,0,0,254,98.1,0,0,0,0,3,1.2,2,0.8,0,0,0,0,0,0
Network 10,610057,Fairfield,FAIRFIELD,575,4,0.7,192,33.4,0,0,4,0.7,370,64.3,4,0.7,0,0,0,0,1,0.2
Network 3,609910,Falconer,FALCONER,"1,434",56,3.9,25,1.7,0,0,6,0.4,"1,325",92.4,4,0.3,16,1.1,2,0.1,0,0
Network 5,610055,Faraday,FARADAY,347,0,0,336,96.8,0,0,1,0.3,5,1.4,2,0.6,0,0,0,0,3,0.9
Network 1,609912,Farnsworth,FARNSWORTH,597,249,41.7,13,2.2,0,0,1,0.2,246,41.2,7,1.2,77,12.9,2,0.3,2,0.3
Network 7,609704,Farragut HS,FARRAGUT HS,"1,100",3,0.3,124,11.3,0,0,3,0.3,966,87.8,0,0,0,0,0,0,4,0.4
Network 13,609705,Fenger  HS,FENGER  HS,421,0,0,415,98.6,0,0,0,0,4,1,1,0.2,0,0,1,0.2,0,0
Network 13,609917,Fernwood,FERNWOOD,311,0,0,309,99.4,0,0,0,0,0,0,2,0.6,0,0,0,0,0,0
Network 2,609918,Field,FIELD,390,9,2.3,141,36.2,0,0,0,0,198,50.8,7,1.8,35,9,0,0,0,0
Network 7,609967,Finkl,FINKL,524,14,2.7,47,9,0,0,0,0,448,85.5,1,0.2,1,0.2,0,0,13,2.5
Network 9,609919,Fiske,FISKE,507,0,0,500,98.6,0,0,0,0,5,1,1,0.2,0,0,0,0,1,0.2
Charter,400042,Ford Power House Chrt HS,FORD POWER HOUSE CHRT HS,179,1,0.6,162,90.5,0,0,1,0.6,11,6.1,0,0,0,0,0,0,4,2.2
Network 1,609708,Foreman HS,FOREMAN HS,"1,507",57,3.8,222,14.7,0,0,5,0.3,"1,201",79.7,6,0.4,10,0.7,2,0.1,4,0.3
Network 11,609924,Fort Dearborn,FORT DEARBORN,416,0,0,412,99,0,0,0,0,0,0,4,1,0,0,0,0,0,0
Network 11,609927,Foster Park,FOSTER PARK,395,0,0,388,98.2,0,0,0,0,6,1.5,0,0,1,0.3,0,0,0,0
Network 4,609926,Franklin Magnet,FRANKLIN MAGNET,371,123,33.2,136,36.7,0,0,0,0,73,19.7,16,4.3,23,6.2,0,0,0,0
Network 5,610503,Frazier International,FRAZIER INTERNATIONAL,265,1,0.4,260,98.1,0,0,0,0,2,0.8,0,0,0,0,0,0,2,0.8
Charter,400040,Frazier Prep Acad,FRAZIER PREP ACAD,456,1,0.2,408,89.5,0,0,0,0,3,0.7,0,0,0,0,0,0,44,9.6
AUSL,609928,Fuller,FULLER,299,0,0,290,97,0,0,0,0,8,2.7,1,0.3,0,0,0,0,0,0
Network 11,609929,Fulton,FULTON,498,4,0.8,309,62,0,0,1,0.2,184,36.9,0,0,0,0,0,0,0,0
Network 4,609930,Funston,FUNSTON,591,5,0.8,71,12,0,0,2,0.3,510,86.3,1,0.2,2,0.3,0,0,0,0
Network 8,609709,Gage Park HS,GAGE PARK HS,613,6,1,295,48.1,0,0,3,0.5,304,49.6,3,0.5,1,0.2,1,0.2,0,0
Charter,400041,Galapagos Charter,GALAPAGOS CHARTER,346,0,0,299,86.4,0,0,0,0,18,5.2,0,0,0,0,0,0,29,8.4
Network 2,609933,Gale,GALE,462,18,3.9,284,61.5,0,0,1,0.2,112,24.2,10,2.2,33,7.1,1,0.2,3,0.6
Network 6,610009,Galileo Magnet,GALILEO MAGNET,559,28,5,129,23.1,0,0,0,0,364,65.1,17,3,19,3.4,2,0.4,0,0
Network 13,609935,Gallistel Magnet,GALLISTEL MAGNET,"1,326",17,1.3,26,2,0,0,8,0.6,"1,272",95.9,2,0.2,0,0,0,0,1,0.1
Network 13,610128,Garvey M.,GARVEY M.,292,0,0,292,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Network 1,609937,Garvy J.,GARVY J.,792,473,59.7,11,1.4,0,0,2,0.3,213,26.9,19,2.4,60,7.6,8,1,6,0.8
Network 7,609938,Gary,GARY,"1,206",5,0.4,4,0.3,0,0,6,0.5,"1,189",98.6,0,0,2,0.2,0,0,0,0
Network 12,609939,Gillespie,GILLESPIE,601,0,0,592,98.5,0,0,0,0,6,1,2,0.3,0,0,0,0,1,0.2
Charter,400009,Globel Citizenship,GLOBEL CITIZENSHIP,350,31,8.9,11,3.1,0,0,2,0.6,298,85.1,3,0.9,1,0.3,0,0,4,1.1
Network 4,609942,Goethe,GOETHE,807,100,12.4,18,2.2,0,0,15,1.9,652,80.8,14,1.7,3,0.4,1,0.1,4,0.5
Network 13,609943,Gompers,GOMPERS,526,0,0,510,97,0,0,0,0,5,1,0,0,0,0,0,0,11,2.1
Network 10,610558,Goode STEM Acad,GOODE STEM ACAD,462,5,1.1,276,59.7,0,0,3,0.6,168,36.4,7,1.5,1,0.2,0,0,2,0.4
Network 2,609945,Goudy,GOUDY,797,53,6.6,176,22.1,0,0,6,0.8,249,31.2,5,0.6,307,38.5,1,0.1,0,0
Network 6,609947,Graham A.,GRAHAM A.,476,145,30.5,126,26.5,0,0,0,0,201,42.2,1,0.2,2,0.4,1,0.2,0,0
Network 6,609769,Graham R. Trng CTR,GRAHAM R. TRNG CTR,123,5,4.1,64,52,0,0,0,0,51,41.5,1,0.8,2,1.6,0,0,0,0
Network 1,609949,Gray,GRAY,"1,303",140,10.7,16,1.2,0,0,3,0.2,"1,100",84.4,12,0.9,27,2.1,0,0,5,0.4
Network 4,609850,Greeley,GREELEY,637,71,11.1,87,13.7,0,0,4,0.6,450,70.6,11,1.7,14,2.2,0,0,0,0
Network 11,610032,Green W.,GREEN W.,302,0,0,293,97,0,0,0,0,4,1.3,4,1.3,1,0.3,0,0,0,0
Network 8,609952,Greene N.,GREENE N.,642,32,5,18,2.8,0,0,2,0.3,577,89.9,2,0.3,9,1.4,0,0,2,0.3
Network 5,609954,Gregory,GREGORY,435,0,0,430,98.9,0,0,0,0,3,0.7,0,0,0,0,0,0,2,0.5
Network 11,609955,Gresham,GRESHAM,318,0,0,316,99.4,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0
Network 10,609956,Grimes,GRIMES,477,62,13,3,0.6,0,0,0,0,406,85.1,2,0.4,4,0.8,0,0,0,0
Network 13,609944,Grissom,GRISSOM,339,71,20.9,21,6.2,0,0,3,0.9,241,71.1,2,0.6,1,0.3,0,0,0,0
Network 8,609958,Gunsaulus Magnet,GUNSAULUS MAGNET,862,18,2.1,44,5.1,0,0,6,0.7,759,88.1,6,0.7,21,2.4,2,0.2,6,0.7
Network 6,609959,Haines,HAINES,672,1,0.1,86,12.8,0,0,0,0,12,1.8,4,0.6,561,83.5,8,1.2,0,0
Network 10,609960,Hale,HALE,872,254,29.1,6,0.7,0,0,7,0.8,588,67.4,7,0.8,9,1,1,0.1,0,0
Network 13,609808,Haley,HALEY,651,1,0.2,634,97.4,0,0,0,0,11,1.7,4,0.6,0,0,0,0,1,0.2
Network 4,609963,Hamilton,HAMILTON,381,189,49.6,40,10.5,0,0,1,0.3,109,28.6,22,5.8,17,4.5,3,0.8,0,0
Network 8,609964,Hamline,HAMLINE,681,8,1.2,69,10.1,0,0,1,0.1,595,87.4,5,0.7,3,0.4,0,0,0,0
OS4,609966,Hammond,HAMMOND,515,6,1.2,49,9.5,0,0,0,0,460,89.3,0,0,0,0,0,0,0,0
Network 10,609807,Hampton,HAMPTON,614,2,0.3,304,49.5,0,0,5,0.8,282,45.9,4,0.7,0,0,0,0,17,2.8
OS4,609694,Hancock HS,HANCOCK HS,928,38,4.1,8,0.9,0,0,2,0.2,867,93.4,5,0.5,5,0.5,1,0.1,2,0.2
Network 3,610068,Hanson Park,HANSON PARK,"1,612",22,1.4,42,2.6,0,0,5,0.3,"1,539",95.5,2,0.1,1,0.1,0,0,1,0.1
Network 12,609710,Harlan HS,HARLAN HS,918,0,0,904,98.5,0,0,1,0.1,6,0.7,6,0.7,1,0.1,0,0,0,0
Network 11,609711,Harper HS,HARPER HS,482,1,0.2,468,97.1,0,0,0,0,11,2.3,1,0.2,0,0,0,0,1,0.2
Network 9,609969,Harte,HARTE,363,15,4.1,305,84,0,0,4,1.1,28,7.7,9,2.5,2,0.6,0,0,0,0
AUSL,609971,Harvard,HARVARD,501,1,0.2,498,99.4,0,0,0,0,0,0,1,0.2,0,0,1,0.2,0,0
Network 1,609972,Haugan,HAUGAN,"1,207",71,5.9,39,3.2,0,0,3,0.2,"1,000",82.9,11,0.9,67,5.6,3,0.2,13,1.1
Network 4,609974,Hawthorne Magnet,HAWTHORNE MAGNET,574,285,49.7,59,10.3,0,0,10,1.7,129,22.5,40,7,42,7.3,9,1.6,0,0
Network 3,609975,Hay,HAY,541,2,0.4,491,90.8,0,0,0,0,42,7.8,2,0.4,1,0.2,0,0,3,0.6
Network 2,609976,Hayt,HAYT,984,107,10.9,167,17,0,0,12,1.2,479,48.7,13,1.3,198,20.1,6,0.6,2,0.2
Network 6,609979,Healy,HEALY,"1,418",136,9.6,15,1.1,0,0,1,0.1,355,25,18,1.3,859,60.6,34,2.4,0,0
Network 10,609981,Hearst,HEARST,353,4,1.1,162,45.9,0,0,0,0,182,51.6,4,1.1,0,0,1,0.3,0,0
Network 8,609983,Hedges,HEDGES,850,14,1.6,29,3.4,0,0,3,0.4,801,94.2,1,0.1,0,0,0,0,2,0.2
Network 5,609985,Hefferan,HEFFERAN,427,2,0.5,419,98.1,0,0,1,0.2,4,0.9,1,0.2,0,0,0,0,0,0
Network 11,609986,Henderson,HENDERSON,370,0,0,354,95.7,0,0,0,0,15,4.1,1,0.3,0,0,0,0,0,0
Network 9,609987,Hendricks,HENDRICKS,271,1,0.4,247,91.1,0,0,0,0,17,6.3,2,0.7,1,0.4,0,0,3,1.1
Network 1,609988,Henry,HENRY,683,34,5,31,4.5,0,0,6,0.9,511,74.8,3,0.4,19,2.8,5,0.7,74,10.8
Network 8,610532,Hernandez,HERNANDEZ,916,7,0.8,21,2.3,0,0,4,0.4,879,96,2,0.2,0,0,0,0,3,0.3
AUSL,609991,Herzl,HERZL,554,2,0.4,529,95.5,0,0,0,0,18,3.2,4,0.7,0,0,1,0.2,0,0
Network 1,609994,Hibbard,HIBBARD,"1,221",63,5.2,74,6.1,0,0,9,0.7,948,77.6,13,1.1,102,8.4,1,0.1,11,0.9
Network 13,610295,Higgins,HIGGINS,410,0,0,403,98.3,0,0,0,0,6,1.5,1,0.2,0,0,0,0,0,0
Network 11,610299,Hinton,HINTON,248,0,0,244,98.4,0,0,0,0,4,1.6,0,0,0,0,0,0,0,0
Network 12,609712,Hirsch HS,HIRSCH HS,273,1,0.4,270,98.9,0,0,0,0,2,0.7,0,0,0,0,0,0,0,0
Network 1,609995,Hitch,HITCH,586,261,44.5,7,1.2,0,0,2,0.3,226,38.6,24,4.1,64,10.9,0,0,2,0.3
Network 6,609996,Holden,HOLDEN,528,55,10.4,36,6.8,0,0,2,0.4,340,64.4,10,1.9,85,16.1,0,0,0,0
OS4,609997,Holmes,HOLMES,274,0,0,269,98.2,0,0,0,0,2,0.7,3,1.1,0,0,0,0,0,0
Network 11,609768,Hope CPHS,HOPE CPHS,391,1,0.3,373,95.4,0,0,0,0,15,3.8,1,0.3,1,0.3,0,0,0,0
Contract,400043,Hope Inst Learning Acad,HOPE INST LEARNING ACAD,398,9,2.3,342,85.9,0,0,1,0.3,34,8.5,3,0.8,4,1,0,0,5,1.3
AUSL,610000,Howe,HOWE,646,2,0.3,621,96.1,0,0,1,0.2,18,2.8,2,0.3,1,0.2,0,0,1,0.2
Network 12,610002,Hoyne,HOYNE,253,0,0,242,95.7,0,0,0,0,7,2.8,4,1.6,0,0,0,0,0,0
Network 10,609741,Hubbard HS,HUBBARD HS,"1,615",53,3.3,85,5.3,0,0,6,0.4,"1,413",87.5,1,0.1,57,3.5,0,0,0,0
Network 5,610005,Hughes C.,HUGHES C.,329,3,0.9,316,96,0,0,0,0,7,2.1,1,0.3,1,0.3,0,0,1,0.3
Network 13,610368,Hughes L.,HUGHES L.,606,2,0.3,597,98.5,0,0,0,0,7,1.2,0,0,0,0,0,0,0,0
Network 10,610006,Hurley,HURLEY,854,3,0.4,8,0.9,0,0,0,0,843,98.7,0,0,0,0,0,0,0,0
Network 9,609713,Hyde Park HS,HYDE PARK HS,"1,001",0,0,989,98.8,0,0,0,0,4,0.4,7,0.7,0,0,0,0,1,0.1
Charter,400148,IJLA Chtr - Leadership  HS,IJLA CHTR - LEADERSHIP  HS,165,3,1.8,5,3,0,0,1,0.6,152,92.1,0,0,1,0.6,0,0,3,1.8
Charter,400164,IJLA Chtr - Lozano HS,IJLA CHTR - LOZANO HS,81,1,1.2,1,1.2,0,0,1,1.2,76,93.8,0,0,0,0,0,0,2,2.5
Network 7,610384,Infinity HS,INFINITY HS,411,1,0.2,19,4.6,0,0,1,0.2,390,94.9,0,0,0,0,0,0,0,0
Charter,400104,Instituto Health Acad HS,INSTITUTO HEALTH ACAD HS,762,11,1.4,33,4.3,0,0,4,0.5,711,93.3,0,0,1,0.1,0,0,2,0.3
Network 4,610078,Inter-American Magnet,INTER-AMERICAN MAGNET,667,74,11.1,10,1.5,0,0,2,0.3,561,84.1,9,1.3,8,1.2,0,0,3,0.4
Charter,400162,Intrinsic Chtr HS,INTRINSIC CHTR HS,184,13,7.1,43,23.4,1,0.5,1,0.5,116,63,2,1.1,4,2.2,1,0.5,3,1.6
Network 6,610121,Irving,IRVING,488,11,2.3,313,64.1,0,0,1,0.2,134,27.5,7,1.4,11,2.3,0,0,11,2.3
Network 6,610060,Jackson A. Magnet,JACKSON A. MAGNET,567,124,21.9,151,26.6,0,0,1,0.2,156,27.5,15,2.6,120,21.2,0,0,0,0
Network 11,610369,Jackson M.,JACKSON M.,339,0,0,334,98.5,0,0,0,0,4,1.2,1,0.3,0,0,0,0,0,0
Network 4,610010,Jahn,JAHN,469,51,10.9,67,14.3,0,0,2,0.4,331,70.6,13,2.8,5,1.1,0,0,0,0
Network 2,610011,Jamieson,JAMIESON,900,282,31.3,41,4.6,0,0,4,0.4,301,33.4,40,4.4,230,25.6,1,0.1,1,0.1
Options,609783,Jefferson N.,JEFFERSON N.,252,6,2.4,216,85.7,0,0,0,0,30,11.9,0,0,0,0,0,0,0,0
Network 6,610012,Jenner,JENNER,278,0,0,271,97.5,0,0,0,0,6,2.2,0,0,1,0.4,0,0,0,0
Network 5,610271,Jensen Magnet,JENSEN MAGNET,503,0,0,463,92,0,0,1,0.2,17,3.4,0,0,0,0,0,0,22,4.4
AUSL,610274,Johnson,JOHNSON,435,0,0,430,98.9,0,0,0,0,5,1.1,0,0,0,0,0,0,0,0
Network 6,609678,Jones CPHS,JONES CPHS,"1,124",324,28.8,236,21,2,0.2,4,0.4,349,31,35,3.1,107,9.5,3,0.3,64,5.7
OS4,609805,Joplin,JOPLIN,484,1,0.2,472,97.5,0,0,0,0,5,1,3,0.6,0,0,0,0,3,0.6
Network 2,609865,Jordan,JORDAN,656,13,2,244,37.2,0,0,4,0.6,372,56.7,9,1.4,12,1.8,1,0.2,1,0.2
OS4,609764,Juarez HS,JUAREZ HS,"1,684",18,1.1,41,2.4,0,0,9,0.5,"1,583",94,10,0.6,22,1.3,1,0.1,0,0
OS4,609762,Julian HS,JULIAN HS,"1,057",1,0.1,"1,040",98.4,0,0,1,0.1,10,0.9,5,0.5,0,0,0,0,0,0
Network 7,610015,Jungman,JUNGMAN,272,1,0.4,7,2.6,0,0,2,0.7,259,95.2,0,0,0,0,0,0,3,1.1
Network 7,609920,Kanoon Magnet,KANOON MAGNET,747,2,0.3,5,0.7,0,0,0,0,739,98.9,1,0.1,0,0,0,0,0,0
Network 10,610084,Keller,KELLER,248,90,36.3,93,37.5,0,0,0,0,32,12.9,8,3.2,22,8.9,2,0.8,1,0.4
Network 5,609925,Kellman,KELLMAN,439,0,0,429,97.7,0,0,0,0,6,1.4,3,0.7,0,0,1,0.2,0,0
Network 10,610016,Kellogg,KELLOGG,265,29,10.9,209,78.9,0,0,2,0.8,13,4.9,12,4.5,0,0,0,0,0,0
OS4,609715,Kelly HS,KELLY HS,"2,537",53,2.1,45,1.8,0,0,10,0.4,"2,073",81.7,3,0.1,351,13.8,1,0,1,0
OS4,609716,Kelvyn Park HS,KELVYN PARK HS,890,20,2.2,47,5.3,0,0,3,0.3,791,88.9,19,2.1,1,0.1,0,0,9,1
Network 10,609718,Kennedy HS,KENNEDY HS,"1,506",385,25.6,66,4.4,0,0,7,0.5,"1,031",68.5,4,0.3,8,0.5,5,0.3,0,0
Network 9,609746,Kenwood HS,KENWOOD HS,"1,814",27,1.5,"1,551",85.5,1,0.1,2,0.1,74,4.1,45,2.5,55,3,1,0.1,58,3.2
Network 11,610019,Kershaw Magnet,KERSHAW MAGNET,277,0,0,273,98.6,0,0,0,0,3,1.1,1,0.4,0,0,0,0,0,0
Network 2,610022,Kilmer,KILMER,804,35,4.4,208,25.9,0,0,3,0.4,460,57.2,19,2.4,75,9.3,0,0,4,0.5
Network 9,609751,King CPHS,KING CPHS,804,8,1,737,91.7,0,0,0,0,41,5.1,6,0.7,12,1.5,0,0,0,0
Network 10,610026,Kinzie,KINZIE,684,213,31.1,26,3.8,0,0,5,0.7,437,63.9,3,0.4,0,0,0,0,0,0
Network 11,610027,Kipling,KIPLING,402,1,0.2,394,98,0,0,0,0,3,0.7,2,0.5,1,0.2,1,0.2,0,0
Charter,400044,KIPP Ascend Charter,KIPP ASCEND CHARTER,744,2,0.3,692,93,0,0,2,0.3,39,5.2,2,0.3,0,0,0,0,7,0.9
Charter,400163,KIPP Create Charter,KIPP CREATE CHARTER,84,0,0,81,96.4,0,0,0,0,0,0,2,2.4,0,0,0,0,1,1.2
Network 9,610030,Kozminski,KOZMINSKI,394,3,0.8,377,95.7,0,0,0,0,9,2.3,4,1,0,0,1,0.3,0,0
Network 2,609719,Lake View HS,LAKE VIEW HS,"1,436",182,12.7,173,12,0,0,9,0.6,932,64.9,31,2.2,105,7.3,4,0.3,0,0
Network 4,609720,Lane Tech HS,LANE TECH HS,"4,120","1,237",30,359,8.7,2,0,25,0.6,"1,883",45.7,94,2.3,427,10.4,14,0.3,79,1.9
Network 8,609993,Lara,LARA,540,8,1.5,18,3.3,0,0,0,0,512,94.8,1,0.2,1,0.2,0,0,0,0
Network 6,610520,LaSalle II Magnet,LASALLE II MAGNET,623,170,27.3,131,21,0,0,2,0.3,279,44.8,21,3.4,18,2.9,2,0.3,0,0
Network 4,610033,LaSalle Magnet,LASALLE MAGNET,555,186,33.5,157,28.3,0,0,0,0,117,21.1,45,8.1,48,8.6,2,0.4,0,0
Network 13,610208,Lavizzo,LAVIZZO,401,0,0,395,98.5,0,0,0,0,6,1.5,0,0,0,0,0,0,0,0
OS4,610034,Lawndale,LAWNDALE,480,0,0,474,98.8,0,0,0,0,3,0.6,1,0.2,0,0,0,0,2,0.4
Charter,400046,LEARN Chtr -  Butler,LEARN CHTR -  BUTLER,634,1,0.2,600,94.6,0,0,0,0,4,0.6,1,0.2,0,0,0,0,28,4.4
Charter,400151,LEARN Chtr - 7th Campus,LEARN CHTR - 7TH CAMPUS,201,0,0,170,84.6,0,0,0,0,5,2.5,1,0.5,0,0,1,0.5,24,11.9
Charter,400048,LEARN Chtr - EXCEL,LEARN CHTR - EXCEL,401,0,0,368,91.8,0,0,1,0.2,6,1.5,0,0,1,0.2,0,0,25,6.2
Charter,400111,LEARN Chtr - Hunter Perkins,LEARN CHTR - HUNTER PERKINS,398,0,0,307,77.1,0,0,0,0,3,0.8,1,0.3,0,0,0,0,87,21.9
Charter,400165,LEARN Chtr - Middle,LEARN CHTR - MIDDLE,200,0,0,192,96,0,0,0,0,4,2,0,0,0,0,0,0,4,2
Charter,400047,LEARN Chtr - North Lawndale,LEARN CHTR - NORTH LAWNDALE,442,0,0,436,98.6,0,0,0,0,4,0.9,0,0,0,0,0,0,2,0.5
Charter,400107,LEARN Chtr - South Shore,LEARN CHTR - SOUTH SHORE,383,0,0,298,77.8,0,0,1,0.3,32,8.4,1,0.3,0,0,0,0,51,13.3
Network 10,610291,Lee,LEE,878,24,2.7,8,0.9,0,0,4,0.5,841,95.8,0,0,1,0.1,0,0,0,0
Charter,400049,Legacy Charter,LEGACY CHARTER,496,1,0.2,449,90.5,0,0,2,0.4,13,2.6,0,0,0,0,0,0,31,6.3
Charter,400119,Legal Prep Acad Chtr,LEGAL PREP ACAD CHTR,228,0,0,223,97.8,0,0,0,0,4,1.8,0,0,0,0,0,0,1,0.4
Network 3,610305,Leland,LELAND,673,1,0.1,661,98.2,0,0,1,0.1,9,1.3,1,0.1,0,0,0,0,0,0
Network 11,610298,Lenart,LENART,303,49,16.2,179,59.1,0,0,2,0.7,15,5,11,3.6,45,14.9,2,0.7,0,0
AUSL,610036,Lewis,LEWIS,488,6,1.2,394,80.7,0,0,0,0,78,16,1,0.2,1,0.2,1,0.2,7,1.4
Network 11,610037,Libby,LIBBY,510,1,0.2,432,84.7,0,0,0,0,75,14.7,2,0.4,0,0,0,0,0,0
Network 4,610038,Lincoln,LINCOLN,808,518,64.1,92,11.4,0,0,7,0.9,71,8.8,51,6.3,69,8.5,0,0,0,0
Network 4,609738,Lincoln Park HS,LINCOLN PARK HS,"2,230",629,28.2,535,24,0,0,7,0.3,728,32.6,94,4.2,232,10.4,1,0,4,0.2
Network 11,610391,Lindblom MSHS,LINDBLOM MSHS,"1,156",27,2.3,800,69.2,0,0,3,0.3,297,25.7,8,0.7,16,1.4,2,0.2,3,0.3
Network 4,610039,Linne,LINNE,677,22,3.2,8,1.2,0,0,1,0.1,586,86.6,7,1,10,1.5,1,0.1,42,6.2
Options,400137,Little Black Pearl HS,LITTLE BLACK PEARL HS,148,1,0.7,146,98.6,0,0,0,0,1,0.7,0,0,0,0,0,0,0,0
Network 7,609834,Little Village,LITTLE VILLAGE,868,2,0.2,0,0,0,0,1,0.1,865,99.7,0,0,0,0,0,0,0,0
Network 3,610040,Lloyd,LLOYD,"1,268",12,0.9,28,2.2,0,0,4,0.3,"1,219",96.1,3,0.2,2,0.2,0,0,0,0
Charter,400011,Locke A. Charter,LOCKE A. CHARTER,570,0,0,562,98.6,0,0,0,0,7,1.2,1,0.2,0,0,0,0,0,0
Network 3,610041,Locke J.,LOCKE J.,"1,389",150,10.8,32,2.3,0,0,9,0.6,"1,144",82.4,2,0.1,39,2.8,12,0.9,1,0.1
Network 4,610325,Logandale Middle,LOGANDALE MIDDLE,894,20,2.2,43,4.8,0,0,1,0.1,814,91.1,11,1.2,5,0.6,0,0,0,0
Network 4,610541,Lorca,LORCA,905,33,3.6,12,1.3,0,0,5,0.6,808,89.3,4,0.4,8,0.9,0,0,35,3.9
Network 3,610043,Lovett,LOVETT,469,2,0.4,396,84.4,0,0,0,0,70,14.9,1,0.2,0,0,0,0,0,0
Network 5,610044,Lowell,LOWELL,644,13,2,170,26.4,0,0,0,0,455,70.7,4,0.6,1,0.2,0,0,1,0.2
Network 6,610029,Lozano Bilingual,LOZANO BILINGUAL,290,8,2.8,32,11,0,0,1,0.3,247,85.2,1,0.3,0,0,1,0.3,0,0
Network 3,610046,Lyon,LYON,"1,425",82,5.8,27,1.9,0,0,15,1.1,"1,261",88.5,8,0.6,22,1.5,2,0.1,8,0.6
Network 7,610215,Madero Middle,MADERO MIDDLE,316,2,0.6,2,0.6,0,0,0,0,311,98.4,1,0.3,0,0,0,0,0,0
Network 12,610047,Madison,MADISON,233,0,0,230,98.7,0,0,0,0,2,0.9,1,0.4,0,0,0,0,0,0
Options,610574,Mandela HS,MANDELA HS,115,3,2.6,101,87.8,0,0,0,0,11,9.6,0,0,0,0,0,0,0,0
OS4,610048,Manierre,MANIERRE,359,0,0,347,96.7,0,0,0,0,6,1.7,2,0.6,0,0,0,0,4,1.1
Network 5,609722,Manley HS,MANLEY HS,450,0,0,441,98,0,0,0,0,9,2,0,0,0,0,0,0,0,0
Network 12,610052,Mann,MANN,423,1,0.2,419,99.1,0,0,0,0,1,0.2,2,0.5,0,0,0,0,0,0
