SchoolID,SchoolName,FullName,CPSUnit
400091,Chicago Tech Academy,Chicago Technology Academy High School,8022
400036,Chicago Virtual Chtr Campus HS,Chicago Virtual Charter High School,7700
609674,Chicago Vocational HS,Chicago Vocational Career Academy High School,1010
609854,Chopin,Frederic Chopin Elementary School,2770
609855,Christopher,Walter S Christopher Elementary School,2780
400159,Christopher House Chtr School,Christopher Charter House ES,9616
400023,Cics - Avalon /so Shore,Chicago Intl Charter - Avalon / South Shore,6580
400024,Cics - Basil,Chicago Intl Charter - Basil,7130
400025,Cics - Bucktown,Chicago Intl Charter - Bucktown,4910
400032,Cics - Ellison,Chicago Intl Charter - Ralph Ellison,4911
400108,Cics - Hawkins,Chicago Intl Charter - Larry Hawkins,8110
400027,Cics - Irving Park,Chicago Intl Charter - Irving Park,4913
400092,Cics - Lloyd Bond,Chicago Intl Charter - Lloyd Bond,8049
400033,Cics - Longwood,Chicago Intl Charter - Longwood,2420
400026,Cics - Loomis,Chicago Intl Charter - Loomis Primary,4914
400034,Cics - Northtown,Chicago Intl Charter - Northtown,7740
400028,Cics - Prairie,Chicago Intl Charter - Prairie,4220
400029,Cics - Washington Park,Chicago Intl Charter - Washington Park,2290
400030,Cics - West Belden,Chicago Intl Charter - West Belden,7120
400031,Cics - Wrightwood,Chicago Intl Charter - Wrightwood,3180
610347,Claremont,Claremont Academy Elementary School,7830
610244,Clark HS,Michele Clark Academic Prep Magnet High School,6620
609795,"Clark, G",George Rogers Clark Elementary School,2230
609856,Clay,Henry Clay Elementary School,2790
609759,Clemente HS,Roberto Clemente Community Academy High School,1840
609857,Cleveland,Grover Cleveland Elementary School,2800
609859,Clinton,DeWitt Clinton Elementary School,2810
609861,Clissold,Henry R Clissold Elementary School,2820
610199,Colemon,Johnnie Colemon Elementary Academy,6170
609862,Coles,Edward Coles Elementary Language Academy,2830
610499,Collins HS,Collins Academy High School,1045
610170,Columbia Explorers,Columbia Explorers Elementary Academy,5860
609863,Columbus,Christopher Columbus Elementary School,2850
400038,Community Services West,Community Services West Academy,1225
609864,Cook,John W Cook Elementary School,2860
609866,Coonley,John C Coonley Elementary School,2880
609867,Cooper,Peter Cooper Elementary Dual Language Academy,2890
609870,Corkery,Daniel J Corkery Elementary School,2910
609761,Corliss HS,George H Corliss High School,1860
610355,Courtenay,Mary E Courtenay Elementary Language Arts Center,7910
609702,Crane HS,Richard T Crane Technical Preparatory HS,1270
610561,Crane Medical Prep,Richard T Crane Medical Preparatory HS,9621
609873,Crown,Crown Community Academy of Fine Arts Center ES,2940
610003,Cuffe,Paul Cuffe Math-Science Technology Academy ES,4090
610004,Cullen,Countee Cullen Elementary School,4100
609756,Curie HS,Marie Sklodowska Curie Metropolitan High School,1820
609900,Curtis,George W Curtis Elementary School,3160
610239,Daley,Richard J Daley Elementary Academy,6560
609875,Darwin,Charles R Darwin Elementary School,2960
610521,"Davis, M",Sir Miles Davis Magnet Elementary Academy,7000
609876,"Davis, N",Nathan S Davis Elementary School,2970
609879,Dawes,Charles Gates Dawes Elementary School,2980
610367,De Priest,Oscar DePriest Elementary School,8050
609880,Decatur,Stephen Decatur Classical Elementary School,2990
609883,Deneen,Charles S Deneen Elementary School,3010
610252,Dett,Robert Nathaniel Dett Elementary School,6740
609884,Dever,William E Dever Elementary School,3020
610402,Devry HS,DeVry University Advantage Academy HS,6990
609885,Dewey,Dewey Elementary Academy of Fine Arts,3030
610313,Diego,Jose De Diego Elementary Community Academy,7420
609874,Dirksen,Everett McKinley Dirksen Elementary School,2950
610363,Disney,Walt Disney Magnet Elementary School,8000
610515,Disney Ii,Disney II Magnet School,8045
,Disney Ii HS,Disney II Magnet High School,9626
609887,Dixon,Arthur Dixon Elementary School,3040
609888,Dodge,Mary Mapes Dodge Elementary Renaissance Academy,3050
609891,Doolittle,James R Doolittle Jr Elementary School,3070
609893,Dore,John C Dore Elementary School,3080
610245,Douglass HS,Frederick A Douglass Academy High School,6630
609894,Drake,John B Drake Elementary School,3100
609896,Drummond,Thomas Drummond Elementary School,3120
610364,Dubois,William E B Dubois Elementary School,8010
610263,Dulles,John Foster Dulles Elementary School,6860
609676,Dunbar HS,Paul Laurence Dunbar Career Academy High School,1030
610188,Dunne Tech Acad,Dunne Technology Academy,6050
610352,Durkin Park,Durkin Park Elementary School,7870
610254,Dvorak Tech Acad,Dvorak Technology Academy,6760
609736,Dyett HS,Dyett High School,1600
610316,Earhart,Amelia Earhart Options for Knowledge ES,7450
609897,Earle,Charles W Earle Elementary School,3130
609898,Eberhart,John F Eberhart Elementary School,3140
609899,Ebinger,Christian Ebinger Elementary School,3150
609901,Edgebrook,Edgebrook Elementary School,3170
610523,Edison Park,Edison Park Elementary School,2085
609794,"Edison, T",Thomas A Edison Regional Gifted Center ES,2220
609903,Edwards,Richard Edwards Elementary School,3200
609904,Ellington,Edward K Ellington Elementary School,3220
400094,Epic Chtr HS,EPIC Academy High School,8058
609907,Ericson,Leif Ericson Elementary Scholastic Academy,3240
400039,Erie Chtr Campus,Erie Elementary Charter School,5780
609908,Esmond,Esmond Elementary School,3250
609909,Everett,Edward Everett Elementary School,3260
610319,Evergreen,Evergreen Academy Middle School,7490
610362,Evers,Medgar Evers Elementary School,7990
610057,Fairfield,Fairfield Elementary Academy,4660
609910,Falconer,Laughlin Falconer Elementary School,3270
610055,Faraday,Michael Faraday Elementary School,4640
609912,Farnsworth,James B Farnsworth Elementary School,3280
609704,Farragut HS,David G Farragut Career Academy High School,1300
609705,Fenger HS,Christian Fenger Academy High School,1310
609917,Fernwood,Fernwood Elementary School,3330
609918,Field,Eugene Field Elementary School,3350
609967,Finkl,William F Finkl Elementary School,3760
609919,Fiske,John Fiske Elementary School,3360
400042,Ford Chtr HS,Henry Ford Academy Power House Charter HS,1165
609708,Foreman HS,Edwin G Foreman High School,1330
609924,Fort Dearborn,Fort Dearborn Elementary School,3400
609927,Foster Park,Foster Park Elementary School,3430
609926,Franklin,Franklin Elementary Fine Arts Center,3420
400040,Frazier Chtr,Frazier Preparatory Academy Elementary School,6650
610503,Frazier Prospective,Frazier Prospective IB Magnet ES,5850
609928,Fuller,Melville W Fuller Elementary School,3440
609929,Fulton,Robert Fulton Elementary School,3450
609930,Funston,Frederick Funston Elementary School,3460
609709,Gage Park HS,Gage Park High School,1340
400041,Galapagos Chtr Campus,Galapagos Elementary Charter School,5840
609933,Gale,Stephen F Gale Elementary Community Academy,3480
610009,Galileo,Galileo Math & Science Scholastic Academy ES,4160
609935,Gallistel,Matthew Gallistel Elementary Language Academy,3490
610128,Garvey,Marcus Moziah Garvey Elementary School,5420
609937,Garvy,John W Garvy Elementary School,3510
609938,Gary,Joseph E Gary Elementary School,3520
609939,Gillespie,Frank L Gillespie Elementary School,3530
400009,Global Citizenship Chtr,Academy for Global Citizenship Elementary School,2025
609942,Goethe,Johann W von Goethe Elementary School,3560
609943,Gompers,Samuel Gompers Fine Arts Options ES,3570
610558,Goode Acad HS,Sarah E. Goode STEM Academy,9598
609945,Goudy,William C Goudy Elementary School,3590
609947,Graham,Alexander Graham Elementary School,3600
609769,"Graham,r HS",Ray Graham Training Center High School,1950
609949,"Gray, W",William P Gray Elementary School,3620
610383,Greater Lawndale HS,Greater Lawndale High School For Social Justice,7600
609850,Greeley,Horace Greeley Elementary School,2730
610032,Green,Wendell E Green Elementary School,4410
609952,Greene,Nathanael Greene Elementary School,3650
609954,Gregory,John Milton Gregory Elementary School,3660
609955,Gresham,Walter Q Gresham Elementary School,3670
609956,Grimes,Robert L Grimes Elementary School,3680
609944,Grissom,Virgil Grissom Elementary School,3580
609958,Gunsaulus,Frank W Gunsaulus Elementary Scholastic Academy,3690
609959,Haines,John Charles Haines Elementary School,3700
609960,Hale,Nathan Hale Elementary School,3710
