SchoolID,SchoolName,FullName,CPSUnit,Network,SchoolID,EducationalUnit,EduUnit,Total,White_No,White_Pct,AfricanAmerican_No,AfricanAmerican_Pct,PacificIslanderRetired_No,PacificIslanderRetired_Pct,NativeAmerican_No,NativeAmerican_Pct,Hispanic_No,Hispanic_Pct,MulitRacial_No,MulitRacial_Pct,Asian_No,Asian_Pct,Hawaiian_No,Hawaiian_Pct,NotAvailable_No,NotAvailable_Pct,lat,lng
610048,Manierre,George Manierre Elementary School,4580,OS4,610048,Manierre,MANIERRE,359,0,0,347,96.7,0,0,0,0,6,1.7,2,0.6,0,0,0,0,4,1.1,41.9075509,-87.64007319999999
609722,Manley HS,Manley Career Academy High School,1460,Network 5,609722,Manley HS,MANLEY HS,450,0,0,441,98,0,0,0,0,9,2,0,0,0,0,0,0,0,0,41.870759,-87.6998844
610052,Mann,Horace Mann Elementary School,4610,Network 12,610052,Mann,MANN,423,1,0.2,419,99.1,0,0,0,0,1,0.2,2,0.5,0,0,0,0,0,0,41.7488632,-87.5747265
610502,Marine Military HS,Marine Military Math and Science Academy,1085,Military,610502,Marine Math & Sci Mil HS,MARINE MATH & SCI MIL HS,401,5,1.2,135,33.7,0,0,2,0.5,253,63.1,2,0.5,4,1,0,0,0,0,41.87891750000001,-87.68838799999999
610053,Marquette,Marquette Elementary School,4620,AUSL,610053,Marquette,MARQUETTE,"1,296",17,1.3,532,41,0,0,4,0.3,737,56.9,5,0.4,0,0,0,0,1,0.1,41.7745007,-87.6972144
610054,Marsh,John L Marsh Elementary School,4630,Network 13,610054,Marsh,MARSH,882,10,1.1,58,6.6,0,0,5,0.6,806,91.4,2,0.2,0,0,1,0.1,0,0,41.7168945,-87.55239569999999
609723,Marshall HS,John Marshall Metropolitan High School,1470,Network 5,609723,Marshall HS,MARSHALL HS,624,1,0.2,606,97.1,0,0,0,0,12,1.9,3,0.5,1,0.2,0,0,1,0.2,41.8789427,-87.7071788
610321,"Marshall, T",Thurgood Marshall Middle School,7520,Network 1,610321,Marshall Middle,MARSHALL MIDDLE,275,14,5.1,11,4,0,0,2,0.7,236,85.8,3,1.1,6,2.2,1,0.4,2,0.7,41.9522637,-87.72047649999999
610056,Mason,Roswell B Mason Elementary School,4650,Network 5,610056,Mason,MASON,485,0,0,481,99.2,0,0,0,0,3,0.6,1,0.2,0,0,0,0,0,0,41.8566228,-87.7305377
609724,Mather HS,Stephen T Mather High School,1480,Network 2,609724,Mather HS,MATHER HS,"1,623",341,21,202,12.4,3,0.2,11,0.7,604,37.2,28,1.7,426,26.2,6,0.4,2,0.1,41.9880628,-87.7009466
